Molecule,name,State,Conformation,alpha,squib,commment,
CH2C(CH3)CH3,"1-Propene, 2-methyl-",1A1,C2v,7.880,1998Gus/Rui:163,,
CH3CHCHCH3,"2-Butene, (E)-",1Ag,C2h,7.880,1998Gus/Rui:163,,
C6H6,Benzene,1A1g,D6h,9.959,1998Gus/Rui:163,,
CH3CH(CH3)CN,"Propanenitrile, 2-methyl-",1A',Cs,8.049,1998Gus/Rui:163,,
CH3CH2CH2CN,Butanenitrile,1A',Cs,8.400,HCP_Polar,,
B3N3H6,borazine,1A1',D3h,8.000,HCP_Polar,,
C3H7OH,1-Propanol,1A',Cs,6.670,1998Gus/Rui:163,,
CH3CHOHCH3,Isopropyl alcohol,1A,C1,6.670,1998Gus/Rui:163,,
C3H7NO,dimethylformamide,1A',Cs,7.809,1998Gus/Rui:163,,
C4H6O2,"2,3-Butanedione",1Ag,C2h,8.201,1998Gus/Rui:163,,
C3H6O3,"1,3,5-Trioxane",1A1,C1,7.020,1998Gus/Rui:163,,
C6H4O2,parabenzoquinone,1Ag,D2h,11.229,1998Gus/Rui:163,,
C4H4N2O2,Uracil,1A',Cs,10.090,1998Gus/Rui:163,,
C6H5F,Fluorobenzene,1A1,C2v,10.200,1984Gra/Gub,,
C6F6,hexafluorobenzene,1A1G,D6h,9.580,HCP_Polar,,
C6H5Cl,chlorobenzene,1A1,C2v,11.861,1998Gus/Rui:163,,
C6H4Cl2,"1,3-dichlorobenzene",1A1,C2v,13.729,1998Gus/Rui:163,,
C6H5Br,bromobenzene,1A1,C2v,14.700,HCP_Polar,,
C5H8,Spiropentane,1A1,D2d,8.049,1998Gus/Rui:163,,
NH2CH2CH2CH3,1-Propanamine,1A',Cs,7.700,1998Gus/Rui:163,,
N(CH3)3,Trimethylamine,1A1,C3v,7.076,1997Oln/Can:59,,
CH3CH(NH2)CH3,2-Propanamine,1A',Cs,7.769,1998Gus/Rui:163,,
C6H5CN,phenyl cyanide,1A1,C2v,11.981,1998Gus/Rui:163,,
CH3COCH2CH3,2-Butanone,1A',Cs,8.190,1998Gus/Rui:163,,
C4H8O,"Furan, tetrahydro-",1A,C2,7.880,1998Gus/Rui:163,,
CHOCH2CH2CH3,Butanal,1A',Cs,8.180,1998Gus/Rui:163,,
C3H8O2,"Methane, dimethoxy-",1A,C2,7.700,1998Gus/Rui:163,,
C3H7ONO,Propyl nitrite,1A',Cs,8.500,1998Gus/Rui:163,,
C6H5OH,phenol,1A',Cs,10.909,1998Gus/Rui:163,,
CH3CH2CH2CH3,Butane,1Ag,Anti,8.020,1998Gus/Rui:163,,
CH3CH(CH3)CH3,Isobutane,1A1,C3v,8.009,1998Gus/Rui:163,,
C6H5NH2,aniline,1A',Cs,11.581,1998Gus/Rui:163,,
C5H8O,Cyclopentanone,1A,C2,9.250,1998Gus/Rui:163,,
C4H8O2,"1,4-Dioxane",1Ag,C2h,8.430,1998Gus/Rui:163,,
C4H8O2,Butanoic acid,1A,C1,,,,
C4H8O2,Ethyl acetate,1A',Cs,8.620,1998Gus/Rui:163,,
C3H8O3,"1,2,3-Propanetriol",1A,C1,7.860,1998Gus/Rui:163,,
C6H5CHO,benzaldehyde,1A',Cs,12.800,1998Gus/Rui:163,,
C6H5NO2,Nitrobenzene,1A1,C2v,12.259,1998Gus/Rui:163,,
CH2ClCH2CH2CH3,"Butane, 1-chloro-",1A',Cs,11.301,1998Gus/Rui:163,,
CH3CHClCH2CH3,"Butane, 2-chloro-",1A,C1,12.499,1998Gus/Rui:163,,
CH3CCl(CH3)CH3,"Propane, 2-chloro-2-methyl-",1A1,C3v,9.879,1998Gus/Rui:163,,
C5H10,Cyclopentane,1A,C1,9.170,1998Gus/Rui:163,,
C5H10,"2-Pentene, (E)-",1A',Cs,9.839,1998Gus/Rui:163,,
CH2CHCH2CH2CH3,1-pentene,1A,C1,9.650,1998Gus/Rui:163,,
C6H5CH3,toluene,1A',Cs,11.861,1998Gus/Rui:163,,
C5H9N,"Propanenitrile, 2,2-dimethyl-",1A1,C1,9.591,1998Gus/Rui:163,,
C4H10O,Methyl propyl ether,1A,C1,8.860,1998Gus/Rui:163,,
C4H10O,"2-Butanol, (.+/-.)-",1A,C1,8.570,1998Gus/Rui:163,,
C4H10O,Ethoxy ethane,1A1,C2v,8.730,1998Gus/Rui:163,,
C4H10O,1-Butanol,1A',Cs,8.570,1998Gus/Rui:163,,
C2H5SC2H5,Diethyl sulfide,1A1,C2v,10.549,1998Gus/Rui:163,,
C6H10,1-Hexyne,1A',Cs,10.900,1998Gus/Rui:163,,
C6H5CHCH2,Styrene,1A',Cs,14.409,1998Gus/Rui:163,,
C5H10O,3-Pentanone,1A1,C2v,9.930,1998Gus/Rui:163,,
C5H10O,2-Pentanone,1A',Cs,9.930,1998Gus/Rui:163,,
C6H5OCH3,Anisole,1A',Cs,13.100,1998Gus/Rui:163,,
C5H12,Pentane,1A1,C2v,9.879,1998Gus/Rui:163,,
C5H12,"Butane, 2-methyl-",1A,C1,8.770,1998Gus/Rui:163,,
C5H12,"Propane, 2,2-dimethyl-",1A1,Td,10.240,1998Gus/Rui:163,,
C5H11N,Piperidine,1A',NH equatorial,10.320,1998Gus/Rui:163,,
C6H10O,cyclohexanone,1A',Cs,11.061,1998Gus/Rui:163,,
C5H11Cl,"Pentane, 1-chloro-",1A',Cs,12.000,1998Gus/Rui:163,,
C6H12,hex-1-ene,1A',Cs,11.650,1998Gus/Rui:163,,
C6H12,Cyclohexane,1A1g,Chair,11.000,HCP_Polar,,
CH3C6H4CH3,paraxylene,1Ag,C2h,14.260,1990Mil:8533,,
C10H8,naphthalene,1Ag,D2h,17.400,1998Gus/Rui:163,,
C10H8,Azulene,1A1,C2v,15.520,1998Gus/Rui:163,,
C5H12O,"Propane, 1-ethoxy-",1A',Cs,10.680,1998Gus/Rui:163,,
C5H12O,1-Pentanol,1A',Cs,11.581,1998Gus/Rui:163,,
C6H14,Hexane,1Ag,C2h,11.630,1998Gus/Rui:163,,
C3H7OC3H7,di-n-propyl ether,1A1,C2v,12.219,1998Gus/Rui:163,,
