CAS,Comment,Formula,IE,Method,Name,Refer
 1724-39-6,LLK, C,9.26 ¡À 0.03,PI,Cyclododecanol,"Golubitskii, Kulikov, et al., 1979"
 17455-13-9,LBLHLM, C,8.9,PE,"1,4,7,10,13,16-Hexaoxacyclooctadecane","Baker, Armen, et al., 1983"
 59922-36-0,Vertical value, C,9.26,PE,"Cyclohexane,1,4-dimethoxy-1-methyl-4-(1-methylethyl)-cis-","Brown, 1976"
 68580-05-2,, C,9.02 ¡À 0.03,PI,"2-Propanone, tetramer","Trott, Blais, et al., 1978"
 36534-20-0,, C,7.0 ¡À 0.1,EI,"Cobalt,bis[(1,2,3,4,5,6-¦Ç","Herberich, Greiss, et al., 1971"
 36534-27-7,, C,7.2 ¡À 0.1,EI,"Cobalt,bis[(1,2,3,4,5,6-¦Ç)-1-methylboratabenzene]-","Herberich, Greiss, et al., 1971"
 3740-05-4,LLK, C,8.3,PE,"cis-1-Phenyl-3,3-dimethyl-but-1-ene","Kobayashi, Arai, et al., 1981"
 3846-66-0,LLK, C,7.9,PE,"trans-1-Phenyl-3,3-dimethyl-but-1-ene","Kobayashi, Arai, et al., 1981"
 53011-74-8,LLK, C,7.5,PE,"Bicyclo[6.2.2]dodeca-8,10,11-triene","Schmidt, Schweig, et al., 1978"
 5676-29-9,LLK, C,8.25 ¡À 0.04,EI,"Benzene, (2,2-dimethyl-1-methylenepropyl)-","Benito, Seidl, et al., 1973"
 36012-52-9,LBLHLM, C,8.3,PE,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,4a,5,8,8a-octahydro-, (1¦Á,4¦Á,4a¦Á,5¦Â,8¦Â,8a¦Á)-","Paddon-Row, Patney, et al., 1982"
 73679-39-7,Vertical value, C,7.9,PE,"1,4:5,8-Dimethano-4a,8a-(methanoxymethano)naphthalene-9,11-dione, octahydro-(1&#945;,4&#945;,4a&#946;,5&#946;,8&#945;,8a&#946;)","Kunzer, Litterst, et al., 1987"
 24375-17-5,Vertical value; , C,8.22,PE,Tetraspiro[2.0.2.0.2.0.2.0]dodecane,"Gleiter, Haider, et al., 1979"
 73321-28-5,Vertical value, C,8.12,PE,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,5,6,7,8-octahydro-, (1¦Á,4¦Á,5¦Á,8.alpha)-","Kunzer, Litterst, et al., 1987"
 87753-95-5,LBLHLM, C,8.6,PE,"trans,trans,trans-1,2,3,4-Tetravinylcyclobutane","Gleiter, Haider, et al., 1983"
 21635-90-5, , C,8.6,PE,"1,4:5,8-dimethano-naphthalene,1,2,4,4a,8,8,8a-octahydro-","Paddon-Row, Patney, et al., 1981"
 82865-42-7,LBLHLM, C,8.6,PE,"cis,trans,cis-1,2,3,4-Tetravinylcyclobutane","Gleiter, Haider, et al., 1983"
 1076-69-3,RDSH, C,8.97 ¡À 0.03,EI,"5,6,7,8,9,10-Hexahydrobenzocyclooctene","Meier, Heiss, et al., 1968"
 24139-32-0,Vertical value; , C,8.9,PE,"4a,8a-Ethenonaphthalene, 1,2,3,4,5,8-hexahydro-","Gleiter, Heilbronner, et al., 1973"
 5103-78-6,LLK, C,8.7,PE,"4a,8a-Ethanonaphthalene, 1,4,5,8-tetrahydro-","Dougherty, Bloomfield, et al., 1976"
 15914-93-9,Vertical value, C,8.78 ¡À 0.03,PE,"1,4:5,8-Dimethanonaphthalene, 1,2,3,4,4a,5,8,8a-octahydro-, (1¦Á,4¦Á,5¦Â,8¦Â)-","Paddon-Row, Patney, et al., 1981"
 64371-17-1,LBLHLM, C,8.2,PE,"Dispiro[2.0.2.6]dodeca-1,5-diene","Spanget-Larsen, de Korswagen, et al., 1982"
 53848-19-4,Vertical value, C,8.39 ¡À 0.03,PE,Tricyclo[4.2.1.0,"Martin, Kagabu, et al., 1974"
 36439-92-6,Vertical value, C,8.27 ¡À 0.03,PE,"Tricyclo[4.2.2.0<sup>2,5</sup>]decane,7,8-bis(methylene)-(1&#945;,2&#946;,5&#946;,6&#945;)-","Pfeffer, Klessinger, et al., 1975"
 12318-77-3, , C,6.72,PE,"Molybdenum, tetrakis(¦Ç3-2-propenyl)di-","Green and Seddon, 1980"
 40866-48-6,Vertical value, C,8.35,PE,"Tin,dimethylbis(2,4-pentanedionato-o,o')-(oc-6-21)-","Fragala, Ciliberto, et al., 1979"
 115245-14-2, , C,8.2,PE,Tricyclo[5.5.0.0,"Gleiter, Toyota, et al., 1988"
 35148-00-6,Vertical value, C,7.84,PE,"3,4-Dimethyl-2,5-bis(trimethylsilyl)thiophene","Bock and Roth, 1983"
 84905-00-0, , C,6.7,PE,"1,7-Diazabicyclo[5.5.2]tetradecane","Honegger, Yang, et al., 1985"
 82407-82-7, , C,6.4,PE,"1,8-Diazabicyclo[6.3.3]tetradecane","Honegger, Yang, et al., 1985"
 84905-01-1, , C,6.4,PE,"1,7-Diazabicyclo[5.4.3]tetradecane","Honegger, Yang, et al., 1985"
 54380-47-1,Vertical value, C,7.7,PE,"Silane,2,5-cyclohexadiene-1,4-diylbis[trimethyl-trans-","Bock and Kaim, 1980"
 126223-56-1,, C,9.32,PI,"1,7-Dicarbadodecaborane(12), 1-decyl-","Orlov, Pustobaev, et al., 1989"
 126223-55-0,, C,9.46,PI,"1,2-Dicarbadodecaborane(12), 1-decyl-","Orlov, Pustobaev, et al., 1989"
 141968-99-2,Vertical value, C,6.93,PE,"1,3,2-Diazaphosphol-4-ene, 2-chloro-1,3-dibutyl-4,5-dimethyl-","Zverev, Gryaznova, et al., 1991"
 75135-40-9,Vertical value, C,7.2,PE,"1,3,2-Diazaphosphol-4-ene, 2-chloro-2-oxo-1,3-dibutyl-4,5-dimethyl-","Zverev, Gryaznova, et al., 1991"
 59660-97-8,Vertical value, C,9.35,PE,"Alanine, N-chloro-2-methyl-, octyl ester","Gerson, Worley, et al., 1978"
 294-62-2,LLK, C,9.72 ¡À 0.03,PI,Cyclododecane,"Golubitskii, Kulikov, et al., 1979"
 71546-87-7,Vertical value, C,9.34 ¡À 0.02,PE,"Naphthalene,1,2,3,4,4a,5,6,8a-octahydro-8a-methoxy-4a-methyl-cis-","Brown, Marcinko, et al., 1979"
 68211-38-1,Vertical value, C,9.35 ¡À 0.02,PE,"Naphthalene,1,2,3,4,4a,5,6,8a-octahydro-8a-methoxy-4a-methyl-trans-","Brown, Marcinko, et al., 1979"
 4789-40-6,Vertical value; , C,7.66,PE,"Furan, 2,5-bis(1,1-dimethylethyl)-","Veszpremi, Nyulaszi, et al., 1987"
 85538-50-7, , C,8.5,PE,"Tricyclo[4.3.1.1(2,5)]undecane, 10-methoxy-, stereoisomer","Tombo, Ammann, et al., 1983"
 27656-50-4,LLK, C,8.346 ¡À 0.005,PE,"(Z)-3-Heptene, 2,2,4,6,6-pentamethyl-","Masclet, Grosjean, et al., 1973"
 63339-99-1,Vertical value, C,8.63,PE,"Benzene,[1-(1-methylethyl)cyclopropyl]-","Prins, Verhoeven, et al., 1977"
 27490-20-6,, C,8.37,CTS,"2-Silaindan,2-methyl-2-(trimethylsilyl)-","Pitt, 1970"
 90467-12-2,, C,8.79,PE,"Silane, dimethyl-phenyl-(tert-butyl)-","Sakurai, Ichinose, et al., 1984"
 127620-12-6,Vertical value, C,7.48,PE,"Platinum, bis(triethylphosphite-p)dimethyl-","Yang, Bancroft, et al., 1990"
 4278-87-9,LLK, C,7.84,PE,"Cyclohexanone, cyclohexylidenehydrazone","Zverev, Vovna, et al., 1973"
 66102-30-5,LLK, C,7.3,PE,"N,N,N',N',3,5-Hexamethylbenzenediamine","Nelsen, Grezzo, et al., 1981"
 28037-21-0,Vertical value, C,8.57,PE,"7-Thia-14,15-diazadispiro[5.1.5.2]pentadec-14-ene","Houk, Chang, et al., 1975"
 40006-83-5,Vertical value, C,7.6,PE,"2-Pentanethione, 4,4'-(1,2-ethanediyldinitrilo)bis-","Cauletti and Sima, 1980"
 6310-76-5,Vertical value, C,7.71,PE,"2-Pentanone,4,4'-(1,2-ethanediyldinitrilo)bis-","Condorelli, Fragala, et al., 1973"
 54929-05-4,LLK, C,6.4,PE,"N,N,N',N',4,5-Hexamethylbenzenediamine","Nelsen, Grezzo, et al., 1981"
 1747-57-5,, C,9.2,EI,"1,1,3,3,5,5,7,7-Octamethyl-1,3,5,7-tetrasilacyclooctane","Pitt, Habercom, et al., 1968"
 65836-68-2, , C,6.5,PE,Bis(bis-¦Ç,"Cotton and Stanley, 1988"
 94397-45-2,, C,8.69,CT,"Germane, dimethyl-phenyl-(tert-butyl)-","Sakurai, Ichinose, et al., 1984"
 702-79-4,LLK, C,9.15,PE,"Adamantane, 1,3-dimethyl-","Bewick, Edwards, et al., 1976"
 14451-87-7,LLK, C,9.2,PI,Tricyclo[3.3.1.1,"Fedorova, Potapov, et al., 1974"
 2146-36-3,, C,9.05,PI,"Acenaphthylene, dodecahydro-","Fedorova, Potapov, et al., 1974"
 32787-97-6,, C,9.35 ¡À 0.05,PI,"4,7-Methano-1H-indene,5-ethyloctahydro-,(3a&#945;,4&#946;,5&#945;,7&#946;,7a&#945;)-","Fedorova, Denisov, et al., 1973"
 4233-18-5,Vertical value, C,8.16 ¡À 0.02,PE,Cyclohexylidenecyclohexane,"Brown, Buschek, et al., 1983"
 53561-46-9,Vertical value, C,8.9,PE,"Cyclooctyne,3,3,8,8-tetramethyl-","Schmidt, Schweig, et al., 1974"
 64601-40-7,LBLHLM, C,8.6,PE,Dispiro[2.0.2.6]dodecane,"Spanget-Larsen, Gleiter, et al., 1982"
 3282-54-0,, C,8.30 ¡À 0.01,PE,"Cyclohexene,1-cyclohexyl-","Rang, Paldoia, et al., 1974"
 62413-60-9,, C,8.22 ¡À 0.01,PI,"Bicyclo[2.2.1]heptane, 2-ethylidene-1,7,7-trimethyl-, (E)-","Demeo and El-Sayed, 1970"
 61506-29-4, , C,8.9,PE,Tricyclo[5.5.0.0,"Gleiter, Toyota, et al., 1988"
 1808-09-9,, C,8.68 ¡À 0.01,PE,"Cyclohexene,3-cyclohexyl-","Rang, Paldoia, et al., 1974"
 1961-02-0,, C,9.6 ¡À 0.2,EI,"Mercury, bis(3-fluorophenyl)-","Glockling, Irwin, et al., 1976"
 332-07-0,Vertical value, C,8.5,PE,"Azobenzene, 4,4'-difluoro-","Petrachenko, Vovna, et al., 1993"
 326-04-5,Vertical value, C,8.51,PE,"Diazene, bis(4-fluorophenyl)-1-oxide","Petrachenko, Vovna, et al., 1993"
 3098-82-6,, C,8.27,CTS,"Disilane,pentamethyl(phenylmethyl)-","Pitt, 1970"
 405-31-2,Vertical value; , C,8.4,PE,"Disulfide, bis(4-fluorophenyl)","Giordon and Bock, 1982"
 14781-49-8,, C,7.97 ¡À 0.05,EI,"Bis(3-methyl-2,4-pentanedionato)copper","Reichert and Westmore, 1970"
 13878-44-9,, C,7.68 ¡À 0.03,EI,"Bis(2,4-hexanedionato)copper","Holtzclaw, Lintvedt, et al., 1969"
 13183-70-5,LBLHLM, C,8.45,PE,"1,4-Bis(trimethylsilyl)benzene","Traven', Redchenko, et al., 1982"
 21752-84-1,, C,8.38 ¡À 0.04,EI,"2,9-Disiladeca-4,6-diyne, 2,2,9,9-tetramethyl-","Bock and Seidl, 1968"
 396-64-5,LLK, C,8.35 ¡À 0.02,PE,"1,1'-Biphenyl,3,3'-difluoro-","Maier and Turner, 1972"
 398-23-2,LLK, C,8.00 ¡À 0.02,PE,"1,1'-Biphenyl, 4,4'-difluoro-","Maier and Turner, 1972"
 41192-46-5,Vertical value, C,6.35,PE,"Copper, [[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanethionato]](2-)-N,N',s,s']-","Cauletti and Sima, 1980"
 1660-04-4,LLK, C,8.82 ¡À 0.05,PE,1-Adamantyl methyl ketone,"Miller, Koch, et al., 1973"
 14263-53-7,Vertical value, C,7,PE,"Copper, ((4,4'-(ethylenedinitrilo)di-2-pentanonato)(2-))-","Condorelli, Fragala, et al., 1973"
 711-01-3,LLK, C,9.38 ¡À 0.03,PE,"Adamantan-1-carboxylic acid, methyl ester","Miller, Koch, et al., 1973"
 61372-57-4,, C,8.51 ¡À 0.05,EI,"Benzene,[(5-methoxypentyl)oxy]-","Schwarz, Petersen, et al., 1977"
 71600-20-9,Vertical value, C,8.5,PE,"4¦Á,8¦Á-(Methanothiomethano)naphthalene,1,2,3,4,5,8-hexahydro-10-oxide","Bohm and Gleiter, 1979"
 388-82-9,LLK, C,8.35 ¡À 0.02,PE,"2,2'-Difluorobiphenyl","Maier and Turner, 1972"
 19909-70-7,LBLHLM, C,8.5,PE,"2,2,7,7-Tetramethyl-octa-3,4,5,6-tetraone","Gleiter and Dobler, 1985"
 60678-83-3,Vertical value, C,7.51,PE,"Pyridazino[1,2-b]phthalazine,dodecahydro-,trans-","Nelsen, Peacock, et al., 1976"
 70220-96-1, , C,8.3,PE,Tricyclo[4.3.1.1,"Tombo, Ammann, et al., 1983"
 36197-17-8, , C,8.6,PE,"1,4:5,8-Dimethanonaphthalen-9-ol, decahydro-, stereoisomer","Paddon-Row, Patney, et al., 1982"
 85523-07-5, , C,7.9,PE,Tricyclo[4.3.1.1,"Tombo, Ammann, et al., 1983"
 36197-16-7, , C,8.9,PE,"1,4:5,8-Dimethanonaphthalen-9-ol, decahydro-, stereoisomer","Paddon-Row, Patney, et al., 1982"
 54350-32-2,Vertical value, C,8.47,PE,"Benzene,2-(1,1-dimethylethoxy)-1,3-dimethyl-","Dewar, Ernstbrunner, et al., 1974"
 13605-05-5,Vertical value, C,8.15,PE,"Benzene,1,3,5-trimethyl-2-(1-methylethoxy)-","Friege and Klessinger, 1979"
 6238-65-9,LLK, C,9.11,EI,"Methanone, (2-fluorophenyl)-2-pyridinyl-","Schubert and Grutzmacher, 1980"
 132-65-0,LLK, C,8.44,EI,Dibenzothiophene,"Terlouw, Heerma, et al., 1974"
 92-85-3,LLK, C,7.7,PE,Thianthrene,"Traven', Redchenko, et al., 1981"
 14275-62-8,Vertical value, C,8.5,PE,"Stannane, 1,4-phenylenebis[trimethyl-]-","Kaim, Tesmann, et al., 1980"
 3646-57-9,LLK, C,9.97,EI,"Diazene, bis(4-nitrophenyl)-","Nuyken and Messmer, 1977"
 304-81-4,Vertical value, C,8.1,PE,"Phenazine, 5-oxide","Albini and Mark, 1976"
 27693-37-4,, C,9.71,EI,"Methanone,(2-nitrophenyl)-2-pyridinyl-","Schubert and Grutzmacher, 1980"
 100-32-3,Vertical value, C,8.98,PE,Bis(4-nitrophenyl)disulfide,"Giordon and Bock, 1982"
 4199-03-5,, C,7.85,CTS,"Disilane,(4-methoxphenyl)pentamethyl-","Pitt, Carey, et al., 1972"
 4806-74-0,LLK, C,9.18 ¡À 0.03,PI,2-Chlorocyclododecanone oxime,"Golubitskii, Kulikov, et al., 1979"
 830-13-7,LLK, C,8.96 ¡À 0.03,PI,Cyclododecanone,"Golubitskii, Kulikov, et al., 1979"
 59880-81-8,Vertical value, C,9.21,PE,"Cyclohexene,3,6-dimethoxy-3-methyl-6-(1-methylethyl)-cis-","Brown, 1976"
 71121-92-1,Vertical value, C,9,PE,"2,3,7-Trioxabicyclo[2.2.1]heptane,1,4-bis(1,1-dimethylethyl)-","Gleiter, Schang, et al., 1980"
 68211-40-5,Vertical value, C,9.30 ¡À 0.02,PE,"Cyclohexane,1-(1,1-dimethylethyl)-3-methoxy-4-methylene-trans-","Brown, Marcinko, et al., 1979"
 68211-39-2,Vertical value, C,8.97 ¡À 0.02,PE,"Cyclohexane,1-(1,1-dimethylethyl)-3-methoxy-4-methylene-cis-","Brown, Marcinko, et al., 1979"
 17987-54-1,Vertical value, C,9.08 ¡À 0.02,PE,"Naphthalene,decahydro-4a-methoxy-8a-methyl-cis-","Brown, Marcinko, et al., 1979"
 17987-53-0,Vertical value, C,9.10 ¡À 0.05,PE,"Naphthalene,decahydro-4a-methoxy-8a-methyl-trans-","Brown and Marcinko, 1978"
 230-17-1,LLK, C,7.9,PE,Benzo[c]cinnoline,"Hush, Cheung, et al., 1975"
 92-82-0,LLK, C,8.33,PE,Phenazine,"Hush, Cheung, et al., 1975"
 66-71-7,LLK, C,8.3,PE,o-Phenanthroline,"Hush, Cheung, et al., 1975"
 230-07-9,, C,8.35 ¡À 0.02,PE,"4,7-Phenanthroline","Hush, Cheung, et al., 1975"
 76246-37-2,Vertical value, C,8.25,PE,"Plumbane, 1,4-phenylenebis[trimethyl-]-","Kaim, Tesmann, et al., 1980"
 21364-16-9,Vertical value, C,8.6,PE,"Germane, 1,4-phenylenebis[trimethyl-]-","Kaim, Tesmann, et al., 1980"
 92-51-3,, C,9.41,PE,"1,1'-Bicyclohexyl","Bodor, Dewar, et al., 1970"
 3964-66-7,, C,8.37 ¡À 0.03,PE,"Cyclohexene,1-hexyl-","Rang, Paldoia, et al., 1974"
 765-03-7,LLK, C,9.90 ¡À 0.02,PI,1-Dodecyne,"Rang and Martinson, 1978"
 4292-00-6,, C,8.41 ¡À 0.03,PE,"Cyclopentene,1-heptyl-","Rang, Paldoia, et al., 1974"
 629-49-2,LLK, C,9.29 ¡À 0.02,PI,2-Dodecyne,"Rang and Martinson, 1978"
 6790-27-8,LLK, C,9.17 ¡À 0.02,PI,3-Dodecyne,"Rang and Martinson, 1978"
 15232-78-7,, C,8.78 ¡À 0.01,PE,"Cyclohexene,3-hexyl-","Rang, Paldoia, et al., 1974"
 1486-75-5,LLK, C,8.74 ¡À 0.15,EI,"Cyclododecene, (E)-","Remane, Graefe, et al., 1972"
 22058-01-1,LLK, C,9.14 ¡À 0.03,PI,4-Dodecyne,"Rang and Martinson, 1978"
 19780-12-2,LLK, C,9.09 ¡À 0.03,PI,5-Dodecyne,"Rang and Martinson, 1978"
 1129-89-1,LLK, C,8.78 ¡À 0.15,EI,"Cyclododecene, (Z)-","Remane, Graefe, et al., 1972"
 6975-99-1,, C,9.06 ¡À 0.03,PI,6-Dodecyne,"Rang and Martinson, 1978"
 51733-17-6, , C,6.6,PE,"Molybdenum, tris(¦Ç4-1,3-butadiene)-","Green, Kelly, et al., 1982"
 17853-64-4,Vertical value, C,8.07,PE,"4¦Á,8¦Á-(Methanothiomethano)naphthalene,1,2,3,4,5,8-hexahydro-","Bohm and Gleiter, 1979"
 41273-55-6,, C,7.29 ¡À 0.01,EI,"Stannane,(2,3-dihydro-1H-inden-1-yl)trimethyl-","Rakita, Hoffman, et al., 1973"
 74910-63-7, , C,6.5,PE,"Iron, bis(3-methylpentadienyl)","Bohm, Eckert-Maksic, et al., 1982"
 51733-16-5, , C,6.9,PE,"Tungsten, tris(¦Ç","Green, Kelly, et al., 1982"
 73838-84-3,LLK, C,9,PE,"Mercury, bis(3,3-dimethyl-1-butynyl)-","Furlani, Piancastelli, et al., 1981"
 27490-24-0,, C,8.02,CTS,"Germane,1-indanyltrimethyl-","Pitt, 1970"
 64503-49-7,Vertical value, C,8.67 ¡À 0.05,PE,"Thioborinic acid, dipropyl-, 4-bromophenyl ester","Bernardi, Danieli, et al., 1977"
 64541-68-0,Vertical value, C,8.87 ¡À 0.05,PE,"Borinic acid,dipropylthio-3-chlorophenyl ester","Bernardi, Danieli, et al., 1977"
 64503-48-6,Vertical value, C,8.73 ¡À 0.05,PE,"Thioborinic acid, dipropyl-, 4-chlorophenyl ester","Bernardi, Danieli, et al., 1977"
 12247-96-0,Vertical value, C,7.58,PE,"Iron,dicarbonyl-2,4-cyclopentadiene-1-yl(¦Ç","Fabian, Fehlner, et al., 1980"
 33363-82-5, , C,6.8,PE,¦Ç,"Chizhov, Timoshenko, et al., 1986"
 21752-86-3,, C,8.90 ¡À 0.04,EI,Bis(trimethylsilyl)hexatriyne,"Bock and Seidl, 1968"
 41391-03-1,Vertical value, C,6.7,PE,"Palladium, [[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanethionato]](2-)-N,N',s,s']-","Cauletti and Sima, 1980"
 89771-82-4, , C,8,PE,"1,4:5,8-Dimethanophthalazine, 1,4,4a,5,6,7,8,8a-octahydro-10,10-dimethyl- (1¦Á,4¦Á,4a¦Á,5¦Á,8¦Á,8a¦Á)-","Beck, Hunig, et al., 1986"
 66102-32-7,Vertical value, C,5.65,PE,"Quinoxaline, 1,2,3,4-tetrahydro-1,4,6,7-tetramethyl-","Nelsen, Grezzo, et al., 1981"
 39161-60-9,Vertical value, C,6.86,PE,"1,6-Benzodiazocine, 1,2,3,4,5,6-hexahydro-1,6-dimethyl-","Nelsen, Grezzo, et al., 1981"
 66102-31-6,Vertical value, C,7.42,PE,"Quinoxaline, 1,2,3,4-tetrahydro-1,4,5,8-tetramethyl-","Nelsen, Grezzo, et al., 1981"
 13878-48-3,Vertical value, C,6.8,PE,"Nickel,[[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanonato]](2-)-N,N',o,o']-","Condorelli, Fragala, et al., 1973"
 41258-78-0,Vertical value, C,6.55,PE,"Nickel,[[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanethionato]](2-)-N,N',s,s']-","Cauletti and Sima, 1980"
 78497-38-8,Vertical value, C,8.44,PE,"e-Diazene, bis(bicyclo[2.1.1]hex-1-yl)-","Engel, Gerth, et al., 1988"
 39848-57-2, , C,8.46,PE,"2',3',5'-Tri-o-methyluridine","Yu, O'Donnell, et al., 1981"
 37819-05-9, , C,7.5,PE,"4,4a,9,9a,14,14a-Hexahydro-3H,8H,13H-tripyridazino[1,6-a:1',6'-c:1"",6""-e][1,3,5]triazine","Beck, Hunig, et al., 1986"
 78497-36-6,Vertical value, C,7.96,PE,"z-Diazene, bis(bicyclo[2.1.1]hex-1-yl)-","Engel, Gerth, et al., 1988"
 38337-62-1,Vertical value, C,6.88,PE,"Palladium,[[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanonato]](2-)-N,N',o,o']-(sp-4-2-)-","Condorelli, Fragala, et al., 1973"
 40595-34-4,LLK, C,7.61 ¡À 0.04,EI,"Silane, trimethyl(3-phenyl-2-propenyl)-","Benito, Seidl, et al., 1973"
 18036-88-9,LLK, C,7.87 ¡À 0.01,EI,"Silane,(2,3-dihydro-1H-inden-1-yl)trimethyl-","Rakita, Hoffman, et al., 1973"
 40595-35-5,, C,7.77 ¡À 0.04,EI,"Silane,trimethyl(3-phenyl-2-propenyl)-,(Z)-","Benito, Seidl, et al., 1973"
 41254-15-3,Vertical value, C,6.5,PE,"Cobalt, [[4,4'-(1,2-ethanediyldinitrilo)bis[2-pentanethionato]](2-)-N,N',s,s']-","Cauletti and Sima, 1980"
 53862-33-2,Vertical value; , C,9.50 ¡À 0.03,PE,"1,4:5,8-Dimethanonaphthalene, decahydro-, (1¦Á,4¦Á,4a¦Á,5¦Á,8¦Á,8a¦Á)-","Martin and Schwesinger, 1974"
 87-85-4,LBLHLM, C,7.85,PE,"Benzene, hexamethyl-","Howell, Goncalves, et al., 1984"
 100-18-5,, C,8.35,PE,"Benzene, 1,4-bis(1-methylethyl)-","Bock, Kaim, et al., 1978"
 102-25-0,Vertical value, C,8.32,PE,"Benzene, 1,3,5-triethyl-","Howell, Goncalves, et al., 1984"
 4815-57-0,Vertical value; , C,8.31,PE,"Benzene, 1,4-dipropyl-","Gleiter, Hopf, et al., 1980"
 945-51-7,LLK, C,8.3,PE,Diphenyl sulfoxide,"Bock and Solouki, 1974"
 127-63-9,LLK, C,9.2,PE,Diphenyl sulfone,"Traven', Redchenko, et al., 1981"
 98230-14-9,, C,8.91,PE,"1,5,2,4-Ethanediylidenecyclopenta[cd]pentalene-3,6(1H,4H)-dione, hexahydro-","Elsasser, Hassenruck, et al., 1991"
 12129-51-0,Vertical value; , C,6.62,PE,"Titanium, dicarbonylbis(¦Ç5-2,4-cyclopentadien-1-yl)-","Bohm, 1982"
 581-96-4,LBLHLM, C,8.05,PE,2-Naphthaleneacetic acid,"Klasinc, Kovac, et al., 1983"
 86-87-3, , C,7.71,PE,1-Naphthaleneacetic acid,"Klasinc, Kovac, et al., 1983"
 42301-38-2,LBLHLM, C,8.5,PE,Tetracyclo[4.4.2.0,"Albert, Heller, et al., 1985"
 98230-16-1,, C,8.65,PE,"Dicyclopenta[cd,gh]pentalene-3,6-dione, 2a,3a,5a,6a,6b,6c-hexahydro-","Elsasser, Hassenruck, et al., 1991"
 21426-53-9,Vertical value, C,7.8,PE,"6H-Dibenz[c,e][1,2]oxasilin","Traven', Redchenko, et al., 1982"
 941-98-0,LLK, C,8.23,PE,"Ethanone, 1-(1-Naphthalenyl)-","Utsunomiya, Kobayashi, et al., 1975"
 101-84-8,LLK, C,8,PE,Diphenyl ether,"Terlouw, Heerma, et al., 1974"
 4900-73-6,Vertical value, C,8.46 ¡À 0.03,PE,"7H-Benzocyclohepten-7-one,6-methyl-","Allan, Heilbronner, et al., 1975"
 90-43-7,, C,7.80 ¡À 0.02,PE,o-Hydroxybiphenyl,"Maier and Turner, 1972"
 20861-99-8,Vertical value, C,8.21,PE,"Naphthalene, 2-(epoxyethyl)-","Akiyama, Li, et al., 1979"
 92-69-3,, C,7.78 ¡À 0.03,PI,p-Hydroxybiphenyl,"Potapov, Kardash, et al., 1972"
 93-08-3,Vertical value, C,8.31,PE,2-Naphthyl methyl ketone,"Utsunomiya, Kobayashi, et al., 1975"
 7641-77-2,Vertical value; , C,7.83,PE,"Dewar benzene, hexamethyl-","Bougeard, Schrader, et al., 1974"
 6130-98-9,Vertical value; , C,8.61 ¡À 0.02,PE,"2,2,7,7-Tetramethylocta-3,5-diyne","Heilbronner, Jones, et al., 1978"
 3378-20-9,LBLHLM, C,8.5,PE,"1,3-Butadiene, 2,3-di(tert-butyl)-","Honegger, Zhong-zhi, et al., 1984"
 22430-49-5,RDSH, C,8.23 ¡À 0.04,EI,"(E,E)-3,5-Octadiene, 2,2,7,7-tetramethyl-","Bock and Seidl, 1968"
 22833-90-5,Vertical value, C,8.22 ¡À 0.04,EI,"1,3-Hexadiene, 2-(dimethylethyl)-5,5-dimethyl-, (E)-","Bock and Seidl, 1968"
 40827-30-3,LLK, C,8.3,PE,"Dispiro[cyclopropane-1,2'-bicyclo[2.2.2]octane-3',1''-cyclopropane","Asmus and Klessinger, 1975"
 1120-29-2,, C,8.67,PE,"5,7-Dodecadiyne","Heilbronner, Jones, et al., 1977"
 53848-20-7,Vertical value, C,8.30 ¡À 0.03,PE,Tricyclo[4.2.1.0,"Martin, Kagabu, et al., 1974"
 77422-57-2, , C,7.9,PE,Tetracyclo[4.2.2.2,"Gleiter, Krennrich, et al., 1986"
 38992-78-8,Vertical value; , C,9.05,PE,"4a,8a-Ethenonaphthalene, 1,2,3,4,5,6,7,8-octahydro-","Gleiter, Heilbronner, et al., 1973"
 86954-77-0,Vertical value, C,8.15 ¡À 0.02,PE,"1,4-Methanonaphthalene, 1,2,3,4,5,6,7,8-octahydro-5-methyl-","Brown, Buschek, et al., 1983"
 2799-44-2,, C,7.49,PE,"Cyclopropane,tris(1-methylethylidene)-","Bally and Haselbach, 1975"
 66149-44-8,, C,8.19,PE,"1H-Cyclobuta[cd]pentalene,octahydro-1-(1-methylethylidene)-","Domelsmith, Houk, et al., 1978"
 12146-92-8,Vertical value, C,5.53,PE,"Chromocene,1,1'-dimethyl-","Evans, Green, et al., 1974"
 42087-90-1,Vertical value, C,5.91,PE,Bis(fluorobenzene)chromium,"Cabelli, Cowley, et al., 1982"
 33480-58-9, , C,6.8,PE,"Chromium, ¦Ç","Guimon, Pfister-Guillouzo, et al., 1982"
 33248-13-4,, C,7.15,EI,Trimethylsilylbenzenechromium tricarbonyl,"Muller, 1969"
 64173-15-5,Vertical value, C,6.9,PE,"Molybdenum, pentacarbonyl(1,3-diethyl-2-imidazolidinylidene)-","Lappert, McCabe, et al., 1980"
 882-33-7,RDSH, C,9.4 ¡À 0.3,EI,"Disulfide, diphenyl","Gal'perin, Bogolyubov, et al., 1969"
