CAS,Comment,Formula,IE,Method,Name,Refer
 38446-43-4,, C,7.85,CTS,"Trisilane,1,1,1,2,3,3,3-heptamethyl-2-)(1-naphthalenyl)-","Pitt, Carey, et al., 1972"
 38446-42-3,, C,7.93,CTS,"Trisilane,1,1,1,2,2,3,3-heptamethyl-3-(1-naphthalenyl)-","Pitt, Carey, et al., 1972"
 86560-61-4, , C,7.5,PE,"1,2,4,5-Tetraphosphaspiro[2.2]pentane, 1,2,4,5-tetrakis(1,1-dimethylethyl)-","Gleiter, Uschmann, et al., 1986"
 107053-23-6,Vertical value, C,7.09 ¡À 0.02,PE,"Molybdenum, [1,2-ethanediolato(2-)-o,o'-)oxo[tris(3,5-dimethyl-1H-pyrazolato-N')hydroborato(1-)-N","Chang, Rai-Chaudhuri, et al., 1990"
 2234-14-2,LLK, C,8,PE,"2,4,6-Tri-isopropylacetophenone","Centineo, Fragala, et al., 1978"
 102829-38-9,Vertical value, C,6.69 ¡À 0.02,PE,"Molybdenum, dimethoxy-oxo[tris(3,5-dimethyl-1H-pyrazolato-N')hydroborato(1-)-N","Chang, Rai-Chaudhuri, et al., 1990"
 35449-08-2,, C,8.22 ¡À 0.04,EI,"(¦Á,¦Á,¦Á-Tris(trimethylsilyl)ethylbenzene","Bock, Seidl, et al., 1968"
 87424-91-7,Vertical value, C,8.68,PE,"1,4:5,8:9,10-Trimethanoanthracene, 1,2,3,4,4a,5,8,8a,9,9a,10,10a-dodecahydro-(1¦Á,4¦Á,4a¦Á,5¦Â,8¦Â8a¦Á,9.beta,9a¦Á,10¦Â,10a¦Á)-","Jorgensen, Paddon-Row, et al., 1983"
 90219-29-7, , C,6.6,PE,"Ruthenium, ¦Ì-carbonyltetracarbonyl[¦Ì-[¦Ç","Casarin, Vittadini, et al., 1988"
 607-55-6,, C,7.81,PI,"1-Naphthalenol, benzoate","Orlov, Ponomarev, et al., 1991"
 93-44-7,, C,7.82,PI,2-Naphthyl benzoate,"Orlov, Ponomarev, et al., 1991"
 38717-96-3,Vertical value, C,7.55,PE,"Methanone,1-azulenylphenyl-","Dougherty, Lewis, et al., 1980"
 642-29-5,Vertical value, C,8.03,PE,benzoylnaphthalene,"Traven, Safronov, et al., 1991"
 2844-17-9,Vertical value; , C,7.31,PE,"Benzonitrile, 4-[2-[4-(dimethylamino)phenyl]ethenyl]-, (E)-","Cauletti, Furlani, et al., 1985"
 3576-44-1,, C,8.26 ¡À 0.07,CTS,"10H-Phenothiazine,10-[3-(dimethylamino)-1-oxopropyl]-","Poltorakov, Pirnazarova, et al., 1973"
 82-05-3,, C,8,PE,7H-Benz[de]anthracen-7-one,"Traven, Safronov, et al., 1991"
 52457-25-7,Vertical value, C,7.55,PE,"1,4-Methanoanthracene,1,4-dihydro-9,10-dimethoxy-","Paquette, Bellamy, et al., 1980"
 69454-53-1,Vertical value, C,8.03 ¡À 0.04,PE,"1H-Phenalen-1-one,9-butoxy-","Carnovale, Gan, et al., 1979"
 41169-42-0,Vertical value, C,9.0 ¡À 0.05,PE,"1,3-Propanedione,2,2-dimethyl-1,3-diphenyl-","McAlduff and Bunbury, 1979"
 82823-46-9, , C,7.8,PE,"Spiro[1,3-benzodioxole-2,2'-naphtho[2,3-d][1,3]dioxole","Gleiter and Uschmann, 1986"
 25730-47-6,Vertical value, C,7.57,PE,"[1,2]Dithiolo[1,5-b][1,2]dithiole-7-s(iv),3,4-diphenyl-","Gleiter, Hornung, et al., 1971"
 1033-90-5,, C,7.39,EI,"[1,2]Dithiolo[1,5-b][1,2]dithiole-7-SIV, 2,5-diphenyl-","Johnstone and Ward, 1969"
 32589-54-1,, C,7.70 ¡À 0.05,EI,"Cyclopropanecarbonitrile, 1-(p-chlorophenyl)-2-(p-methoxyphenyl)-","Lageot, 1971"
